day,open,high,low,close,volume
2024-06-03 09:34:00,11.03,11.05,11.02,11.02,1868500
2024-06-03 09:35:00,11.03,11.03,11.01,11.03,1882700
2024-06-03 09:36:00,11.03,11.03,11.0,11.01,2705600
2024-06-03 09:37:00,11.01,11.02,10.99,11.02,2725000
2024-06-03 09:38:00,11.02,11.05,11.01,11.03,864300
2024-06-03 09:39:00,11.03,11.04,11.02,11.02,553900
2024-06-03 09:40:00,11.03,11.03,11.0,11.02,1332000
2024-06-03 09:41:00,11.02,11.03,11.0,11.01,1085000
2024-06-03 09:42:00,11.01,11.02,11.0,11.01,1469100
2024-06-03 09:43:00,11.0,11.01,11.0,11.0,739700
2024-06-03 09:44:00,11.0,11.01,10.98,10.99,1899900
2024-06-03 09:45:00,10.99,11.02,10.98,11.02,1780100
2024-06-03 09:46:00,11.02,11.02,11.01,11.01,1076300
2024-06-03 09:47:00,11.01,11.02,11.0,11.01,539000
2024-06-03 09:48:00,11.01,11.01,10.99,11.01,1194800
2024-06-03 09:49:00,11.01,11.02,11.0,11.02,230800
2024-06-03 09:50:00,11.02,11.02,10.99,11.0,1467300
2024-06-03 09:51:00,10.99,11.0,10.99,11.0,780400
2024-06-03 09:52:00,11.0,11.01,10.99,11.01,764200
2024-06-03 09:53:00,11.01,11.01,11.0,11.01,268700
2024-06-03 09:54:00,11.01,11.03,11.0,11.02,544500
2024-06-03 09:55:00,11.02,11.03,11.01,11.01,587400
2024-06-03 09:56:00,11.01,11.02,11.01,11.02,758500
2024-06-03 09:57:00,11.02,11.03,11.02,11.02,944800
2024-06-03 09:58:00,11.02,11.03,11.01,11.02,458200
2024-06-03 09:59:00,11.01,11.02,10.99,11.0,2222300
2024-06-03 10:00:00,10.99,11.0,10.99,11.0,604100
2024-06-03 10:01:00,11.0,11.0,10.99,10.99,660500
2024-06-03 10:02:00,10.99,11.0,10.99,11.0,1496383
2024-06-03 10:03:00,10.99,11.01,10.99,11.0,910700
2024-06-03 10:04:00,11.0,11.01,10.99,11.0,886400
2024-06-03 10:05:00,11.0,11.0,10.98,10.98,1590317
2024-06-03 10:06:00,10.99,10.99,10.96,10.96,3990300
2024-06-03 10:07:00,10.96,10.98,10.93,10.94,3033400
2024-06-03 10:08:00,10.94,10.95,10.93,10.94,2562300
2024-06-03 10:09:00,10.95,10.95,10.94,10.94,1101406
2024-06-03 10:10:00,10.95,10.95,10.93,10.94,1407894
2024-06-03 10:11:00,10.94,10.95,10.93,10.94,1236700
2024-06-03 10:12:00,10.95,10.97,10.93,10.96,2363700
2024-06-03 10:13:00,10.97,10.97,10.95,10.95,1020400
2024-06-03 10:14:00,10.96,10.97,10.95,10.96,859000
2024-06-03 10:15:00,10.96,10.97,10.95,10.95,812600
2024-06-03 10:16:00,10.95,10.96,10.94,10.95,787400
2024-06-03 10:17:00,10.95,10.95,10.94,10.94,568300
2024-06-03 10:18:00,10.95,10.96,10.94,10.95,799300
2024-06-03 10:19:00,10.96,10.96,10.95,10.95,476400
